entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	ACTC	LSSP	NSSP
EC-01	754031	7990	762021	991194	436290	274476	28580	3022	9655	2008
EC-01A	42564	575	43139	57534	29380	10641	1645	477	361	60
EC-01B	93863	740	94603	127452	68346	22061	2121	810	415	110
EC-01C	33977	305	34282	47123	21383	10946	1058	132	395	63
EC-01D	35277	426	35703	48760	21367	11268	1352	320	828	142
EC-01E	28528	314	28842	40375	22115	4751	576	521	409	156
EC-01F	39076	406	39482	51622	23730	13194	1139	201	695	117
EC-01G	38084	415	38499	50269	21280	14111	1670	99	778	146
EC-01H	49118	545	49663	62523	25221	21153	2125	29	504	86
EC-01I	42341	374	42715	59048	25129	14814	1731	32	527	108
EC-01J	57297	719	58016	73006	27963	25275	3338	33	569	119
EC-01K	52329	551	52880	62628	26648	23481	1687	70	238	205
EC-01L	54102	548	54650	68955	27981	23135	2140	50	591	205
EC-01M	54525	593	55118	71597	26967	23874	2595	27	946	116
EC-01N	55407	530	55937	71002	25576	26553	2248	29	851	150
EC-01O	58782	707	59489	80297	32096	22744	2625	43	1137	137
EC-01P	18761	242	19003	19003	11108	6475	530	149	411	88
EC-02	696847	5992	702839	849896	365847	301808	23701	534	3835	1122
EC-02A	46916	425	47341	58015	29387	15717	1402	119	232	59
EC-02B	45200	412	45612	59884	30346	13345	1049	97	236	127
EC-02C	50361	437	50798	60560	26504	22027	1356	36	334	104
EC-02D	51306	432	51738	61494	25974	23447	1547	28	231	79
EC-02E	58030	478	58508	70695	30289	24143	3186	29	316	67
EC-02F	57870	399	58269	69566	29672	25849	1992	27	260	70
EC-02G	56321	430	56751	67061	22531	31495	1926	32	272	65
EC-02H	58789	517	59306	72371	27845	28532	1942	33	336	101
EC-02I	55709	488	56197	69624	32420	21074	1683	29	346	157
EC-02J	53778	418	54196	65660	25853	25580	1952	17	307	69
EC-02K	56088	519	56607	66207	26573	27508	1670	33	247	57
EC-02L	45623	410	46033	55457	25398	18539	1389	13	237	47
EC-02M	46372	480	46852	58671	24732	19050	2179	25	312	74
EC-02P	14484	147	14631	14631	8323	5502	428	16	169	46
EC-03	421892	5290	427182	508744	211592	185874	14499	443	8613	871
EC-03A	54512	677	55189	67549	26648	23861	2011	27	1776	189
EC-03B	54560	628	55188	65013	26631	25500	1583	35	730	81
EC-03C	52528	459	52987	61356	27056	23518	1361	48	359	186
EC-03D	43194	582	43776	51297	21486	20068	998	64	521	57
EC-03E	50545	741	51286	61809	24494	23154	2164	107	537	89
EC-03F	53323	612	53935	64944	26167	22992	2306	39	1707	112
EC-03G	52801	544	53345	64357	27951	22349	1812	39	608	42
EC-03H	51003	944	51947	62890	25681	21041	2043	80	2079	79
EC-03P	9426	103	9529	9529	5478	3391	221	4	296	36
EC-04	484297	4548	488845	574565	289621	178647	12493	562	2256	718
EC-04A	30888	214	31102	35940	17778	11874	1092	18	98	28
EC-04B	70224	605	70829	82590	43186	23301	3374	42	230	91
EC-04C	34862	382	35244	41888	22158	11783	669	37	161	54
EC-04D	28228	358	28586	31788	15284	12242	456	38	157	51
EC-04E	27012	267	27279	31145	13258	12747	821	56	100	30
EC-04F	34743	355	35098	41314	20421	12898	1138	60	180	46
EC-04G	33240	414	33654	38947	20296	12286	419	43	165	31
EC-04H	34269	277	34546	43442	20105	13219	621	32	199	93
EC-04I	22930	203	23133	29751	15729	6498	408	64	149	82
EC-04J	39590	325	39915	46731	20848	17596	964	15	131	36
EC-04K	36616	246	36862	43223	23440	12100	852	27	150	47
EC-04L	42541	394	42935	50563	26380	15340	528	60	188	45
EC-04M	39453	411	39864	47445	24586	13512	961	64	264	66
EC-04P	9701	97	9798	9798	6152	3251	190	6	84	18
EC-05	161814	1414	163228	189867	94031	59299	7169	253	866	196
EC-05A	52012	385	52397	60536	27368	21748	2501	46	309	40
EC-05B	30889	272	31161	35129	17354	12149	1158	39	155	34
EC-05C	35771	332	36103	43705	22452	11632	1400	85	153	49
EC-05D	40580	396	40976	47906	25183	12982	2033	82	239	61
EC-05P	2562	29	2591	2591	1674	788	77	1	10	12
EC-06	172769	2048	174817	203968	109017	57093	4569	558	1201	331
EC-06A	71006	950	71956	86487	49414	18543	1892	380	632	145
EC-06B	31565	320	31885	37124	18684	12036	616	51	146	32
EC-06C	34398	368	34766	39853	20672	12414	983	50	202	77
EC-06D	33723	397	34120	38414	18957	13391	1023	74	208	70
EC-06P	2077	13	2090	2090	1290	709	55	3	13	7
EC-07	421138	5198	426336	520909	211544	180925	20962	425	6391	891
EC-07A	28541	546	29087	37444	14949	9295	1178	14	3060	45
