entity_id	valid	rejected	polled	electors	PA	UNP	SLMC	TULF	SLPF	MEP	IND1	TELO	IND2	DPLF	EPRLF	IND4	NSSP	TKLO	PFF	DWC	IND3	IND 1	SMBP	IND5
EC-01	921933	36635	958568	1260686	469642	385100	0	0	11454	42734	9251	0	0	0	0	0	2050	1113	0	589	0	0	0	0
EC-01A	44889	2593	47482	63528	18140	24522	0	0	268	399	1254	0	0	0	0	0	157	96	0	53	0	0	0	0
EC-01B	95710	5995	101705	139012	42060	50136	0	0	502	878	1526	0	0	0	0	0	319	130	0	159	0	0	0	0
EC-01C	36018	1524	37542	52007	16764	17076	0	0	414	1345	258	0	0	0	0	0	93	36	0	32	0	0	0	0
EC-01D	39933	1618	41551	57049	18211	17858	0	0	493	1615	1593	0	0	0	0	0	58	87	0	18	0	0	0	0
EC-01E	25425	821	26246	36915	8977	12983	0	0	90	462	2813	0	0	0	0	0	44	31	0	25	0	0	0	0
EC-01F	40235	1273	41508	55301	20882	16942	0	0	327	1145	813	0	0	0	0	0	71	44	0	11	0	0	0	0
EC-01G	44039	1652	45691	59749	25967	15860	0	0	666	1061	311	0	0	0	0	0	115	50	0	9	0	0	0	0
EC-01H	66593	2775	69368	90167	36939	26796	0	0	935	1646	42	0	0	0	0	0	138	71	0	26	0	0	0	0
EC-01I	52339	1485	53824	71213	28106	21215	0	0	742	1975	140	0	0	0	0	0	104	39	0	18	0	0	0	0
EC-01J	83792	3010	86802	113173	46899	30668	0	0	1541	4327	57	0	0	0	0	0	183	94	0	23	0	0	0	0
EC-01K	62134	2882	65016	81213	20782	28768	0	0	476	11846	46	0	0	0	0	0	95	73	0	48	0	0	0	0
EC-01L	74544	2938	77482	106536	40034	29566	0	0	1180	3409	31	0	0	0	0	0	169	106	0	49	0	0	0	0
EC-01M	74698	2082	76780	101317	41034	25269	0	0	1142	6932	51	0	0	0	0	0	152	89	0	29	0	0	0	0
EC-01N	83403	2932	86335	110948	49342	29585	0	0	1418	2709	33	0	0	0	0	0	165	105	0	46	0	0	0	0
EC-01O	74910	2701	77611	97831	41670	30360	0	0	992	1543	96	0	0	0	0	0	155	60	0	34	0	0	0	0
EC-01P	23271	354	23625	24727	13835	7496	0	0	268	1442	187	0	0	0	0	0	32	2	0	9	0	0	0	0
EC-02	896288	33553	929841	1167469	509030	375631	0	0	11627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02A	64386	2627	67013	85516	32311	31482	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02B	57743	2566	60309	80589	28830	28624	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02C	70934	3044	73978	92027	40684	29617	0	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02D	62615	2228	64843	77104	32951	29141	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02E	69104	2739	71843	89455	37512	30492	0	0	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02F	70192	2288	72480	89192	39893	29455	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02G	70747	2638	73385	91907	45629	24269	0	0	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02H	76295	2456	78751	100416	47822	27133	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02I	73659	2567	76226	97305	40838	31851	0	0	970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02J	73735	2685	76420	98091	43413	29173	0	0	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02K	62990	2331	65321	80415	35849	26552	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02L	61304	2373	63677	80600	34719	25537	0	0	1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02M	57779	2271	60050	78191	32961	23504	0	0	1314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02P	24805	740	25545	26661	15618	8801	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-03	505360	25397	530757	661793	271754	221115	0	0	6238	5914	0	0	0	0	0	0	0	0	339	0	0	0	0	0
EC-03A	67175	2642	69817	89554	39309	25692	0	0	970	1163	0	0	0	0	0	0	0	0	41	0	0	0	0	0
EC-03B	67417	3059	70476	86676	37374	28531	0	0	774	707	0	0	0	0	0	0	0	0	31	0	0	0	0	0
EC-03C	61272	2656	63928	77877	32374	27562	0	0	515	771	0	0	0	0	0	0	0	0	50	0	0	0	0	0
EC-03D	48685	3121	51806	63131	24364	23755	0	0	226	305	0	0	0	0	0	0	0	0	35	0	0	0	0	0
EC-03E	58727	4034	62761	80135	30514	26520	0	0	969	670	0	0	0	0	0	0	0	0	54	0	0	0	0	0
EC-03F	63692	3029	66721	86437	34349	27482	0	0	1107	727	0	0	0	0	0	0	0	0	27	0	0	0	0	0
EC-03G	64376	2805	67181	83849	33686	29063	0	0	809	776	0	0	0	0	0	0	0	0	42	0	0	0	0	0
EC-03H	59165	3818	62983	78540	31009	27007	0	0	693	402	0	0	0	0	0	0	0	0	54	0	0	0	0	0
EC-03P	14851	233	15084	15594	8775	5503	0	0	175	393	0	0	0	0	0	0	0	0	5	0	0	0	0	0
EC-04	576552	31019	607571	743939	267683	301824	0	0	3072	3495	0	0	208	0	0	0	0	0	0	0	0	270	0	0
EC-04A	33375	1648	35023	43462	14762	18240	0	0	144	205	0	0	10	0	0	0	0	0	0	0	0	14	0	0
EC-04B	84443	4352	88795	109246	41035	42356	0	0	546	425	0	0	35	0	0	0	0	0	0	0	0	46	0	0
EC-04C	43754	2731	46485	57482	17816	25471	0	0	186	240	0	0	21	0	0	0	0	0	0	0	0	20	0	0
EC-04D	34916	2149	37065	42700	16590	18116	0	0	93	75	0	0	17	0	0	0	0	0	0	0	0	25	0	0
EC-04E	26064	1766	27830	32992	12457	13408	0	0	99	68	0	0	15	0	0	0	0	0	0	0	0	17	0	0
EC-04F	43651	2434	46085	56925	20461	22434	0	0	318	402	0	0	10	0	0	0	0	0	0	0	0	26	0	0
EC-04G	37734	2611	40345	50376	15365	22141	0	0	92	107	0	0	13	0	0	0	0	0	0	0	0	16	0	0
EC-04H	42114	1610	43724	55740	20318	21005	0	0	286	474	0	0	17	0	0	0	0	0	0	0	0	14	0	0
EC-04I	24443	843	25286	32335	10591	13342	0	0	140	355	0	0	7	0	0	0	0	0	0	0	0	8	0	0
EC-04J	45366	2122	47488	58455	23096	21602	0	0	350	288	0	0	15	0	0	0	0	0	0	0	0	15	0	0
EC-04K	43946	2238	46184	56671	21635	21586	0	0	311	384	0	0	17	0	0	0	0	0	0	0	0	13	0	0
EC-04L	51280	3117	54397	66812	22962	27942	0	0	174	156	0	0	16	0	0	0	0	0	0	0	0	30	0	0
EC-04M	48612	3148	51760	62996	21402	26836	0	0	211	129	0	0	12	0	0	0	0	0	0	0	0	22	0	0
EC-04P	16854	250	17104	17747	9193	7345	0	0	122	187	0	0	3	0	0	0	0	0	0	0	0	4	0	0
EC-05	205962	12646	218608	266974	102680	100121	0	0	1433	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05A	65951	3881	69832	85870	34286	30468	0	0	600	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05B	39208	2618	41826	48525	20648	17970	0	0	153	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05C	43685	2630	46315	58638	20607	22446	0	0	338	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05D	49795	3393	53188	66238	22856	26283	0	0	266	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-05P	7323	124	7447	7703	4283	2954	0	0	76	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06	301918	21592	323510	392770	97658	175478	0	0	928	480	27374	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06A	159291	13368	172659	212690	39476	94893	0	0	453	221	24248	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06B	44548	2607	47155	56977	16112	26542	0	0	194	90	1610	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06C	42941	2526	45467	54001	17904	24783	0	0	130	56	68	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06D	49363	2997	52360	63000	21453	26534	0	0	107	80	1189	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-06P	5775	94	5869	6102	2713	2726	0	0	44	33	259	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-07	492914	20763	513677	645559	277956	203268	0	0	7239	4145	0	0	0	0	0	0	0	0	306	0	0	0	0	0
